Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2012Q1,S08000032,S08000031,,Head & Neck,,6,,6,
2012Q1,S08000032,S08000031,,Lung,,38,,36,
2012Q1,S08000032,S08000031,,Lymphoma,,1,,0,
2012Q1,S08000032,S08000031,,Melanoma,,5,,5,
2012Q1,S08000032,S08000031,,Ovarian,,6,,6,
2012Q1,S08000032,S08000031,,Upper GI,,15,,15,
2012Q1,S08000032,S08000031,,Urological,,4,,4,
2012Q1,S08000032,S08000032,,Breast,,69,,69,
2012Q1,S08000032,S08000032,,Cervical,,5,,5,
2012Q1,S08000032,S08000032,,Colorectal,,68,,68,
2012Q1,S08000032,S08000032,,Head & Neck,,13,,13,
2012Q1,S08000032,S08000032,,Lung,,61,,61,
2012Q1,S08000032,S08000032,,Lymphoma,,26,,26,
2012Q1,S08000032,S08000032,,Melanoma,,25,,25,
2012Q1,S08000032,S08000032,,Ovarian,,5,,5,
2012Q1,S08000032,S08000032,,Upper GI,,36,,36,
2012Q1,S08000032,S08000032,,Urological,,84,,81,
2012Q1,S08000032,SB0801,,Lung,,16,,16,
2012Q2,S08000015,S08000015,,Breast,,97,,97,
2012Q2,S08000015,S08000015,,Cervical,,4,,4,
2012Q2,S08000015,S08000015,,Colorectal,,48,,46,
2012Q2,S08000015,S08000015,,Head & Neck,,16,,15,
2012Q2,S08000015,S08000015,,Lung,,49,,49,
2012Q2,S08000015,S08000015,,Lymphoma,,20,,20,
2012Q2,S08000015,S08000015,,Melanoma,,9,,9,
2012Q2,S08000015,S08000015,,Ovarian,,11,,11,
2012Q2,S08000015,S08000015,,Upper GI,,30,,30,
2012Q2,S08000015,S08000015,,Urological,,62,,62,
2012Q2,S08000015,S08000024,,Upper GI,,2,,2,
2012Q2,S08000015,S08000031,,Breast,,1,,0,
2012Q2,S08000015,S08000031,,Cervical,,3,,3,
2012Q2,S08000015,S08000031,,Colorectal,,7,,6,
2012Q2,S08000015,S08000031,,Head & Neck,,10,,10,
2012Q2,S08000015,S08000031,,Lung,,15,,15,
2012Q2,S08000015,S08000031,,Lymphoma,,1,,1,
2012Q2,S08000015,S08000031,,Melanoma,,3,,3,
2012Q2,S08000015,S08000031,,Ovarian,,1,,1,
2012Q2,S08000015,S08000031,,Upper GI,,17,,17,
2012Q2,S08000015,S08000031,,Urological,,1,,1,
2012Q2,S08000015,SB0801,,Lung,,5,,5,
2012Q2,S08000016,S08000016,,Breast,,12,,12,
2012Q2,S08000016,S08000016,,Cervical,,1,,1,
2012Q2,S08000016,S08000016,,Colorectal,,22,,22,
2012Q2,S08000016,S08000016,,Head & Neck,,1,,1,
2012Q2,S08000016,S08000016,,Lung,,14,,14,
2012Q2,S08000016,S08000016,,Lymphoma,,6,,6,
2012Q2,S08000016,S08000016,,Melanoma,,14,,14,
2012Q2,S08000016,S08000016,,Ovarian,,5,,5,
2012Q2,S08000016,S08000016,,Upper GI,,19,,19,
2012Q2,S08000016,S08000016,,Urological,,28,,28,
2012Q2,S08000016,S08000024,,Head & Neck,,3,,2,
2012Q2,S08000016,S08000024,,Lung,,1,,1,
2012Q2,S08000016,S08000024,,Ovarian,,1,,1,
2012Q2,S08000016,S08000024,,Upper GI,,2,,2,
2012Q2,S08000016,S08000024,,Urological,,6,,5,
2012Q2,S08000017,S08000017,,Breast,,20,,20,
2012Q2,S08000017,S08000017,,Colorectal,,35,,34,
2012Q2,S08000017,S08000017,,Head & Neck,,3,,3,
2012Q2,S08000017,S08000017,,Lung,,31,,31,
2012Q2,S08000017,S08000017,,Lymphoma,,9,,9,
2012Q2,S08000017,S08000017,,Melanoma,,4,,4,
2012Q2,S08000017,S08000017,,Ovarian,,2,,2,
2012Q2,S08000017,S08000017,,Upper GI,,15,,15,
2012Q2,S08000017,S08000017,,Urological,,26,,26,
2012Q2,S08000017,S08000024,,Cervical,,1,,0,
2012Q2,S08000017,S08000024,,Colorectal,,1,,1,
2012Q2,S08000017,S08000024,,Head & Neck,,4,,4,
2012Q2,S08000017,S08000024,,Lung,,10,,10,
2012Q2,S08000017,S08000024,,Lymphoma,,1,,1,
2012Q2,S08000017,S08000024,,Upper GI,,1,,1,
2012Q2,S08000017,S08000024,,Urological,,12,,11,
2012Q2,S08000017,S08000031,,Head & Neck,,1,,1,
2012Q2,S08000017,SB0801,,Lung,,2,,2,
2012Q2,S08000019,S08000019,,Breast,,54,,54,
2012Q2,S08000019,S08000019,,Cervical,,1,,1,
2012Q2,S08000019,S08000019,,Colorectal,,49,,47,
2012Q2,S08000019,S08000019,,Head & Neck,,7,,7,
2012Q2,S08000019,S08000019,,Lung,,23,,23,
2012Q2,S08000019,S08000019,,Lymphoma,,12,,12,
2012Q2,S08000019,S08000019,,Melanoma,,7,,7,
2012Q2,S08000019,S08000019,,Ovarian,,1,,1,
2012Q2,S08000019,S08000019,,Upper GI,,21,,21,
2012Q2,S08000019,S08000019,,Urological,,56,,43,
2012Q2,S08000019,S08000024,,Upper GI,,1,,1,
2012Q2,S08000019,S08000031,,Breast,,3,,3,
2012Q2,S08000019,S08000031,,Cervical,,1,,1,
2012Q2,S08000019,S08000031,,Colorectal,,6,,6,
2012Q2,S08000019,S08000031,,Head & Neck,,9,,9,
2012Q2,S08000019,S08000031,,Lung,,14,,14,
2012Q2,S08000019,S08000031,,Ovarian,,3,,3,
2012Q2,S08000019,S08000031,,Upper GI,,7,,7,
2012Q2,S08000019,S08000031,,Urological,,4,,4,
2012Q2,S08000019,SB0801,,Lung,,13,,13,
2012Q2,S08000020,S08000020,,Breast,,99,,99,
2012Q2,S08000020,S08000020,,Cervical,,7,,7,
2012Q2,S08000020,S08000020,,Colorectal,,96,,96,
2012Q2,S08000020,S08000020,,Head & Neck,,22,,21,
2012Q2,S08000020,S08000020,,Lung,,68,,68,
2012Q2,S08000020,S08000020,,Lymphoma,,38,,37,
2012Q2,S08000020,S08000020,,Melanoma,,24,,24,
2012Q2,S08000020,S08000020,,Ovarian,,9,,9,
2012Q2,S08000020,S08000020,,Upper GI,,52,,52,
2012Q2,S08000020,S08000020,,Urological,,126,,122,
2012Q2,S08000020,S08000022,,Upper GI,,1,,1,
2012Q2,S08000020,S08000024,,Urological,,1,,1,
2012Q2,S08000020,S08000025,,Breast,,1,,1,
2012Q2,S08000022,S08000020,,Lung,,2,,2,
2012Q2,S08000022,S08000020,,Ovarian,,1,,1,
2012Q2,S08000022,S08000022,,Breast,,60,,60,
2012Q2,S08000022,S08000022,,Cervical,,4,,4,
2012Q2,S08000022,S08000022,,Colorectal,,45,,45,
2012Q2,S08000022,S08000022,,Head & Neck,,12,,11,
2012Q2,S08000022,S08000022,,Lung,,54,,54,
2012Q2,S08000022,S08000022,,Lymphoma,,17,,17,
2012Q2,S08000022,S08000022,,Melanoma,,10,,10,
2012Q2,S08000022,S08000022,,Ovarian,,5,,5,
2012Q2,S08000022,S08000022,,Upper GI,,29,,29,
2012Q2,S08000022,S08000022,,Urological,,60,,53,
2012Q2,S08000022,S08000024,,Lung,,1,,1,
2012Q2,S08000022,S08000031,,Colorectal,,1,,1,
2012Q2,S08000022,S08000031,,Head & Neck,,1,,1,
2012Q2,S08000022,S08000031,,Lung,,1,,1,
2012Q2,S08000022,S08000031,,Ovarian,,1,,0,
2012Q2,S08000022,S08000031,,Upper GI,,2,,2,
2012Q2,S08000022,SB0801,,Lung,,1,,1,
2012Q2,S08000024,S08000016,,Breast,,1,,1,
2012Q2,S08000024,S08000019,,Breast,,4,,4,
2012Q2,S08000024,S08000024,,Breast,,201,,201,
2012Q2,S08000024,S08000024,,Cervical,,5,,3,
2012Q2,S08000024,S08000024,,Colorectal,,119,,108,
2012Q2,S08000024,S08000024,,Head & Neck,,55,,54,
2012Q2,S08000024,S08000024,,Lung,,162,,162,
2012Q2,S08000024,S08000024,,Lymphoma,,37,,37,
2012Q2,S08000024,S08000024,,Melanoma,,49,,49,
2012Q2,S08000024,S08000024,,Ovarian,,27,,24,
2012Q2,S08000024,S08000024,,Upper GI,,80,,80,
2012Q2,S08000024,S08000024,,Urological,,145,,134,
2012Q2,S08000024,S08000029,,Breast,,1,,1,
2012Q2,S08000025,S08000020,,Breast,,2,,2,
2012Q2,S08000025,S08000020,,Colorectal,,1,,1,
2012Q2,S08000025,S08000020,,Lymphoma,,2,,2,
2012Q2,S08000025,S08000020,,Urological,,2,,2,
2012Q2,S08000025,S08000025,,Upper GI,,2,,2,
2012Q2,S08000026,S08000020,,Head & Neck,,1,,1,
2012Q2,S08000026,S08000020,,Ovarian,,1,,1,
2012Q2,S08000026,S08000020,,Urological,,3,,3,
2012Q2,S08000026,S08000026,,Breast,,1,,1,
2012Q2,S08000026,S08000026,,Colorectal,,2,,2,
2012Q2,S08000026,S08000026,,Lymphoma,,1,,1,
2012Q2,S08000026,S08000026,,Melanoma,,1,,1,
2012Q2,S08000026,S08000026,,Upper GI,,1,,1,
2012Q2,S08000026,S08000026,,Urological,,6,,6,
2012Q2,S08000026,S08000031,,Upper GI,,1,,1,
2012Q2,S08000028,S08000022,,Colorectal,,3,,3,
2012Q2,S08000028,S08000022,,Lung,,1,,1,
2012Q2,S08000028,S08000022,,Upper GI,,3,,3,
2012Q2,S08000028,S08000022,,Urological,,4,,4,
2012Q2,S08000028,S08000028,,Colorectal,,4,,4,
2012Q2,S08000028,S08000028,,Head & Neck,,1,,1,
2012Q2,S08000028,S08000028,,Lung,,1,,1,
2012Q2,S08000028,S08000028,,Ovarian,,1,,1,
2012Q2,S08000028,S08000031,,Colorectal,,1,,1,
2012Q2,S08000028,S08000031,,Lung,,1,,1,
2012Q2,S08000028,S08000031,,Ovarian,,1,,1,
2012Q2,S08000029,S08000019,,Urological,,1,,1,
2012Q2,S08000029,S08000024,,Cervical,,3,,3,
2012Q2,S08000029,S08000024,,Colorectal,,3,,3,
2012Q2,S08000029,S08000024,,Head & Neck,,22,,22,
2012Q2,S08000029,S08000024,,Lung,,23,,23,
2012Q2,S08000029,S08000024,,Melanoma,,1,,1,
2012Q2,S08000029,S08000024,,Ovarian,,2,,2,
2012Q2,S08000029,S08000024,,Upper GI,,14,,14,
2012Q2,S08000029,S08000024,,Urological,,4,,4,
2012Q2,S08000029,S08000029,,Breast,,36,,36,
2012Q2,S08000029,S08000029,,Colorectal,,48,,48,
2012Q2,S08000029,S08000029,,Head & Neck,,7,,7,
2012Q2,S08000029,S08000029,,Lung,,37,,37,
2012Q2,S08000029,S08000029,,Lymphoma,,16,,16,
2012Q2,S08000029,S08000029,,Melanoma,,15,,15,
2012Q2,S08000029,S08000029,,Ovarian,,4,,3,
2012Q2,S08000029,S08000029,,Upper GI,,27,,27,
2012Q2,S08000029,S08000029,,Urological,,74,,68,
2012Q2,S08000029,S08000030,,Lung,,1,,1,
2012Q2,S08000029,S08000030,,Urological,,1,,1,
2012Q2,S08000030,S08000024,,Lung,,9,,9,
2012Q2,S08000030,S08000024,,Urological,,1,,1,
2012Q2,S08000030,S08000030,,Breast,,106,,106,
2012Q2,S08000030,S08000030,,Cervical,,5,,5,
2012Q2,S08000030,S08000030,,Colorectal,,68,,68,
2012Q2,S08000030,S08000030,,Head & Neck,,26,,26,
2012Q2,S08000030,S08000030,,Lung,,69,,69,
2012Q2,S08000030,S08000030,,Lymphoma,,17,,17,
2012Q2,S08000030,S08000030,,Melanoma,,39,,36,
2012Q2,S08000030,S08000030,,Ovarian,,11,,11,
2012Q2,S08000030,S08000030,,Upper GI,,55,,54,
2012Q2,S08000030,S08000030,,Urological,,92,,88,
2012Q2,S08000031,S08000022,,Colorectal,,2,,2,
2012Q2,S08000031,S08000024,,Upper GI,,3,,2,
2012Q2,S08000031,S08000031,,Breast,,317,,316,
2012Q2,S08000031,S08000031,,Cervical,,4,,4,
2012Q2,S08000031,S08000031,,Colorectal,,218,,212,
2012Q2,S08000031,S08000031,,Head & Neck,,84,,82,
2012Q2,S08000031,S08000031,,Lung,,268,,266,
2012Q2,S08000031,S08000031,,Lymphoma,,55,,55,
2012Q2,S08000031,S08000031,,Melanoma,,86,,86,
2012Q2,S08000031,S08000031,,Ovarian,,10,,10,
2012Q2,S08000031,S08000031,,Upper GI,,124,,124,
2012Q2,S08000031,S08000031,,Urological,,261,,252,
2012Q2,S08000031,S08000032,,Breast,,8,,8,
2012Q2,S08000031,SB0801,,Lung,,46,,46,
2012Q2,S08000031,SB0801,,Urological,,1,,1,
2012Q2,S08000032,S08000024,,Upper GI,,1,,1,
2012Q2,S08000032,S08000031,,Breast,,2,,2,
2012Q2,S08000032,S08000031,,Cervical,,6,,6,
2012Q2,S08000032,S08000031,,Colorectal,,9,,9,
2012Q2,S08000032,S08000031,,Head & Neck,,10,,10,
2012Q2,S08000032,S08000031,,Lung,,27,,26,
2012Q2,S08000032,S08000031,,Melanoma,,6,,6,
2012Q2,S08000032,S08000031,,Ovarian,,3,,3,
2012Q2,S08000032,S08000031,,Upper GI,,10,,10,
2012Q2,S08000032,S08000031,,Urological,,2,,2,
2012Q2,S08000032,S08000032,,Breast,,83,,83,
2012Q2,S08000032,S08000032,,Cervical,,1,,1,
2012Q2,S08000032,S08000032,,Colorectal,,73,,72,
2012Q2,S08000032,S08000032,,Head & Neck,,20,,20,
2012Q2,S08000032,S08000032,,Lung,,68,,68,
2012Q2,S08000032,S08000032,,Lymphoma,,27,,27,
2012Q2,S08000032,S08000032,,Melanoma,,21,,20,
2012Q2,S08000032,S08000032,,Ovarian,,2,,2,
2012Q2,S08000032,S08000032,,Upper GI,,38,,38,
2012Q2,S08000032,S08000032,,Urological,,83,,81,
2012Q2,S08000032,SB0801,,Lung,,18,,18,
2012Q3,S08000015,S08000015,,Breast,,100,,100,
2012Q3,S08000015,S08000015,,Cervical,,6,,6,
2012Q3,S08000015,S08000015,,Colorectal,,52,,51,
2012Q3,S08000015,S08000015,,Head & Neck,,20,,20,
2012Q3,S08000015,S08000015,,Lung,,55,,55,
2012Q3,S08000015,S08000015,,Lymphoma,,12,,12,
2012Q3,S08000015,S08000015,,Melanoma,,26,,26,
2012Q3,S08000015,S08000015,,Ovarian,,11,,11,
2012Q3,S08000015,S08000015,,Upper GI,,22,,22,
2012Q3,S08000015,S08000015,,Urological,,66,,66,
2012Q3,S08000015,S08000017,,Breast,,2,,2,
2012Q3,S08000015,S08000019,,Urological,,1,,1,
2012Q3,S08000015,S08000024,,Upper GI,,1,,1,
2012Q3,S08000015,S08000031,,Breast,,3,,3,
2012Q3,S08000015,S08000031,,Colorectal,,8,,8,
2012Q3,S08000015,S08000031,,Head & Neck,,9,,9,
2012Q3,S08000015,S08000031,,Lung,,20,,20,
2012Q3,S08000015,S08000031,,Melanoma,,3,,3,
2012Q3,S08000015,S08000031,,Ovarian,,9,,9,
2012Q3,S08000015,S08000031,,Upper GI,,16,,16,
2012Q3,S08000015,S08000031,,Urological,,11,,7,
2012Q3,S08000015,SB0801,,Lung,,3,,3,
2012Q3,S08000016,S08000016,,Breast,,16,,16,
2012Q3,S08000016,S08000016,,Cervical,,1,,1,
2012Q3,S08000016,S08000016,,Colorectal,,17,,17,
2012Q3,S08000016,S08000016,,Head & Neck,,2,,2,
2012Q3,S08000016,S08000016,,Lung,,13,,13,
