Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2012Q1,S08000017,,S08000024,Upper GI,,4,,4,
2012Q1,S08000017,,S08000024,Urological,,4,,2,
2012Q1,S08000017,,S08000031,Head & Neck,,2,,2,
2012Q1,S08000017,,SB0801,Lung,,1,,1,
2012Q1,S08000019,,S08000019,Breast,,25,,21,
2012Q1,S08000019,,S08000019,Colorectal,,22,,20,
2012Q1,S08000019,,S08000019,Head & Neck,,2,,2,
2012Q1,S08000019,,S08000019,Lung,,24,,24,
2012Q1,S08000019,,S08000019,Lymphoma,,5,,5,
2012Q1,S08000019,,S08000019,Melanoma,,5,,5,
2012Q1,S08000019,,S08000019,Ovarian,,1,,1,
2012Q1,S08000019,,S08000019,Upper GI,,16,,16,
2012Q1,S08000019,,S08000019,Urological,,36,,30,
2012Q1,S08000019,,S08000024,Lung,,1,,1,
2012Q1,S08000019,,S08000031,Breast,,2,,2,
2012Q1,S08000019,,S08000031,Cervical,,1,,1,
2012Q1,S08000019,,S08000031,Colorectal,,1,,1,
2012Q1,S08000019,,S08000031,Head & Neck,,4,,3,
2012Q1,S08000019,,S08000031,Lung,,15,,14,
2012Q1,S08000019,,S08000031,Ovarian,,3,,3,
2012Q1,S08000019,,S08000031,Upper GI,,4,,4,
2012Q1,S08000019,,SB0801,Lung,,3,,3,
2012Q1,S08000020,,S08000020,Breast,,86,,86,
2012Q1,S08000020,,S08000020,Cervical,,4,,4,
2012Q1,S08000020,,S08000020,Colorectal,,44,,32,
2012Q1,S08000020,,S08000020,Head & Neck,,10,,9,
2012Q1,S08000020,,S08000020,Lung,,45,,42,
2012Q1,S08000020,,S08000020,Lymphoma,,5,,2,
2012Q1,S08000020,,S08000020,Melanoma,,9,,9,
2012Q1,S08000020,,S08000020,Ovarian,,9,,9,
2012Q1,S08000020,,S08000020,Upper GI,,27,,25,
2012Q1,S08000020,,S08000020,Urological,,41,,36,
2012Q1,S08000022,,S08000020,Head & Neck,,1,,1,
2012Q1,S08000022,,S08000022,Breast,,36,,36,
2012Q1,S08000022,,S08000022,Cervical,,3,,3,
2012Q1,S08000022,,S08000022,Colorectal,,30,,27,
2012Q1,S08000022,,S08000022,Head & Neck,,8,,7,
2012Q1,S08000022,,S08000022,Lung,,26,,25,
2012Q1,S08000022,,S08000022,Lymphoma,,5,,5,
2012Q1,S08000022,,S08000022,Melanoma,,8,,8,
2012Q1,S08000022,,S08000022,Ovarian,,2,,2,
2012Q1,S08000022,,S08000022,Upper GI,,19,,19,
2012Q1,S08000022,,S08000022,Urological,,16,,15,
2012Q1,S08000022,,S08000024,Breast,,1,,1,
2012Q1,S08000022,,S08000024,Melanoma,,1,,1,
2012Q1,S08000022,,S08000031,Lung,,3,,3,
2012Q1,S08000022,,S08000031,Upper GI,,1,,1,
2012Q1,S08000022,,S08000031,Urological,,2,,2,
2012Q1,S08000024,,S08000016,Breast,,4,,4,
2012Q1,S08000024,,S08000019,Breast,,1,,1,
2012Q1,S08000024,,S08000024,Breast,,161,,161,
2012Q1,S08000024,,S08000024,Cervical,,2,,2,
2012Q1,S08000024,,S08000024,Colorectal,,97,,94,
2012Q1,S08000024,,S08000024,Head & Neck,,16,,14,
2012Q1,S08000024,,S08000024,Lung,,101,,95,
2012Q1,S08000024,,S08000024,Lymphoma,,14,,14,
2012Q1,S08000024,,S08000024,Melanoma,,23,,22,
2012Q1,S08000024,,S08000024,Ovarian,,13,,12,
2012Q1,S08000024,,S08000024,Upper GI,,32,,32,
2012Q1,S08000024,,S08000024,Urological,,95,,85,
2012Q1,S08000024,,S08000029,Breast,,3,,3,
2012Q1,S08000025,,S08000020,Breast,,1,,1,
2012Q1,S08000025,,S08000020,Colorectal,,2,,1,
2012Q1,S08000025,,S08000020,Upper GI,,1,,0,
2012Q1,S08000025,,S08000025,Colorectal,,2,,2,
2012Q1,S08000025,,S08000025,Urological,,1,,1,
2012Q1,S08000026,,S08000020,Colorectal,,2,,1,
2012Q1,S08000026,,S08000020,Lung,,2,,2,
2012Q1,S08000026,,S08000020,Lymphoma,,1,,1,
2012Q1,S08000026,,S08000020,Urological,,1,,1,
2012Q1,S08000026,,S08000026,Breast,,1,,1,
2012Q1,S08000026,,S08000026,Colorectal,,4,,4,
2012Q1,S08000026,,S08000026,Lung,,3,,3,
2012Q1,S08000026,,S08000026,Melanoma,,1,,1,
2012Q1,S08000026,,S08000026,Upper GI,,1,,1,
2012Q1,S08000028,,S08000022,Colorectal,,1,,1,
2012Q1,S08000028,,S08000028,Colorectal,,2,,2,
2012Q1,S08000028,,S08000028,Lung,,5,,5,
2012Q1,S08000028,,S08000028,Upper GI,,2,,2,
2012Q1,S08000028,,S08000028,Urological,,1,,1,
2012Q1,S08000028,,SB0801,Lung,,1,,1,
2012Q1,S08000028,,SB0801,Upper GI,,1,,1,
2012Q1,S08000029,,S08000024,Breast,,1,,1,
2012Q1,S08000029,,S08000024,Cervical,,2,,1,
2012Q1,S08000029,,S08000024,Colorectal,,3,,2,
2012Q1,S08000029,,S08000024,Head & Neck,,3,,3,
2012Q1,S08000029,,S08000024,Lung,,14,,11,
2012Q1,S08000029,,S08000024,Lymphoma,,1,,1,
2012Q1,S08000029,,S08000024,Ovarian,,1,,1,
2012Q1,S08000029,,S08000024,Urological,,3,,2,
2012Q1,S08000029,,S08000029,Breast,,23,,23,
2012Q1,S08000029,,S08000029,Cervical,,1,,1,
2012Q1,S08000029,,S08000029,Colorectal,,32,,27,
2012Q1,S08000029,,S08000029,Head & Neck,,2,,2,
2012Q1,S08000029,,S08000029,Lung,,41,,41,
2012Q1,S08000029,,S08000029,Lymphoma,,6,,5,
2012Q1,S08000029,,S08000029,Melanoma,,5,,5,
2012Q1,S08000029,,S08000029,Ovarian,,4,,2,
2012Q1,S08000029,,S08000029,Upper GI,,17,,17,
2012Q1,S08000029,,S08000029,Urological,,29,,27,
2012Q1,S08000029,,S08000030,Lung,,3,,3,
2012Q1,S08000030,,S08000020,Lung,,1,,1,
2012Q1,S08000030,,S08000024,Lung,,4,,3,
2012Q1,S08000030,,S08000030,Breast,,67,,67,
2012Q1,S08000030,,S08000030,Cervical,,2,,2,
2012Q1,S08000030,,S08000030,Colorectal,,42,,37,
2012Q1,S08000030,,S08000030,Head & Neck,,8,,7,
2012Q1,S08000030,,S08000030,Lung,,35,,34,
2012Q1,S08000030,,S08000030,Lymphoma,,5,,5,
2012Q1,S08000030,,S08000030,Melanoma,,10,,10,
2012Q1,S08000030,,S08000030,Ovarian,,4,,4,
2012Q1,S08000030,,S08000030,Upper GI,,13,,13,
2012Q1,S08000030,,S08000030,Urological,,32,,30,
2012Q1,S08000031,,S08000022,Colorectal,,2,,1,
2012Q1,S08000031,,S08000024,Urological,,1,,1,
2012Q1,S08000031,,S08000031,Breast,,203,,203,
2012Q1,S08000031,,S08000031,Cervical,,6,,6,
2012Q1,S08000031,,S08000031,Colorectal,,100,,93,
2012Q1,S08000031,,S08000031,Head & Neck,,33,,32,
2012Q1,S08000031,,S08000031,Lung,,104,,89,
2012Q1,S08000031,,S08000031,Lymphoma,,18,,18,
2012Q1,S08000031,,S08000031,Melanoma,,25,,25,
2012Q1,S08000031,,S08000031,Ovarian,,6,,6,
2012Q1,S08000031,,S08000031,Upper GI,,98,,92,
2012Q1,S08000031,,S08000031,Urological,,87,,85,
2012Q1,S08000031,,S08000032,Breast,,4,,4,
2012Q1,S08000031,,SB0801,Lung,,9,,7,
2012Q1,S08000032,,S08000031,Breast,,1,,1,
2012Q1,S08000032,,S08000031,Cervical,,5,,5,
2012Q1,S08000032,,S08000031,Colorectal,,6,,4,
2012Q1,S08000032,,S08000031,Head & Neck,,1,,1,
2012Q1,S08000032,,S08000031,Lung,,22,,21,
2012Q1,S08000032,,S08000031,Melanoma,,3,,3,
2012Q1,S08000032,,S08000031,Ovarian,,4,,4,
2012Q1,S08000032,,S08000031,Upper GI,,5,,5,
2012Q1,S08000032,,S08000031,Urological,,2,,2,
2012Q1,S08000032,,S08000032,Breast,,52,,52,
2012Q1,S08000032,,S08000032,Cervical,,3,,2,
2012Q1,S08000032,,S08000032,Colorectal,,44,,43,
2012Q1,S08000032,,S08000032,Head & Neck,,4,,4,
2012Q1,S08000032,,S08000032,Lung,,32,,32,
2012Q1,S08000032,,S08000032,Lymphoma,,4,,4,
2012Q1,S08000032,,S08000032,Melanoma,,13,,13,
2012Q1,S08000032,,S08000032,Ovarian,,2,,2,
2012Q1,S08000032,,S08000032,Upper GI,,23,,22,
2012Q1,S08000032,,S08000032,Urological,,41,,38,
2012Q1,S08000032,,SB0801,Lung,,9,,9,
2012Q2,S08000015,,S08000015,Breast,,70,,70,
2012Q2,S08000015,,S08000015,Cervical,,3,,3,
2012Q2,S08000015,,S08000015,Colorectal,,32,,30,
2012Q2,S08000015,,S08000015,Head & Neck,,4,,4,
2012Q2,S08000015,,S08000015,Lung,,41,,40,
2012Q2,S08000015,,S08000015,Lymphoma,,5,,5,
2012Q2,S08000015,,S08000015,Ovarian,,7,,7,
2012Q2,S08000015,,S08000015,Upper GI,,22,,21,
2012Q2,S08000015,,S08000015,Urological,,19,,17,
2012Q2,S08000015,,S08000031,Cervical,,1,,1,
2012Q2,S08000015,,S08000031,Colorectal,,3,,2,
2012Q2,S08000015,,S08000031,Head & Neck,,1,,0,
2012Q2,S08000015,,S08000031,Lung,,9,,9,
2012Q2,S08000015,,S08000031,Upper GI,,8,,6,
2012Q2,S08000015,,SB0801,Lung,,2,,2,
2012Q2,S08000016,,S08000016,Breast,,10,,10,
2012Q2,S08000016,,S08000016,Cervical,,1,,1,
2012Q2,S08000016,,S08000016,Colorectal,,12,,12,
2012Q2,S08000016,,S08000016,Head & Neck,,1,,1,
2012Q2,S08000016,,S08000016,Lung,,8,,8,
2012Q2,S08000016,,S08000016,Lymphoma,,3,,3,
2012Q2,S08000016,,S08000016,Melanoma,,6,,6,
2012Q2,S08000016,,S08000016,Ovarian,,3,,3,
2012Q2,S08000016,,S08000016,Upper GI,,7,,7,
2012Q2,S08000016,,S08000016,Urological,,15,,15,
2012Q2,S08000016,,S08000024,Head & Neck,,2,,1,
2012Q2,S08000016,,S08000024,Ovarian,,1,,1,
2012Q2,S08000016,,S08000024,Upper GI,,2,,2,
2012Q2,S08000016,,S08000024,Urological,,3,,3,
2012Q2,S08000017,,S08000017,Breast,,11,,11,
2012Q2,S08000017,,S08000017,Colorectal,,18,,18,
2012Q2,S08000017,,S08000017,Head & Neck,,1,,1,
2012Q2,S08000017,,S08000017,Lung,,19,,19,
2012Q2,S08000017,,S08000017,Lymphoma,,3,,3,
2012Q2,S08000017,,S08000017,Melanoma,,3,,3,
2012Q2,S08000017,,S08000017,Ovarian,,1,,1,
2012Q2,S08000017,,S08000017,Upper GI,,6,,6,
2012Q2,S08000017,,S08000017,Urological,,10,,9,
2012Q2,S08000017,,S08000024,Cervical,,1,,0,
2012Q2,S08000017,,S08000024,Colorectal,,1,,1,
2012Q2,S08000017,,S08000024,Head & Neck,,2,,2,
2012Q2,S08000017,,S08000024,Lung,,6,,6,
2012Q2,S08000017,,S08000024,Urological,,4,,2,
2012Q2,S08000017,,S08000031,Head & Neck,,1,,1,
2012Q2,S08000017,,SB0801,Lung,,1,,1,
2012Q2,S08000019,,S08000019,Breast,,46,,43,
2012Q2,S08000019,,S08000019,Cervical,,1,,1,
2012Q2,S08000019,,S08000019,Colorectal,,35,,32,
2012Q2,S08000019,,S08000019,Head & Neck,,4,,4,
2012Q2,S08000019,,S08000019,Lung,,20,,20,
2012Q2,S08000019,,S08000019,Lymphoma,,5,,5,
2012Q2,S08000019,,S08000019,Melanoma,,6,,5,
2012Q2,S08000019,,S08000019,Ovarian,,1,,1,
2012Q2,S08000019,,S08000019,Upper GI,,17,,17,
2012Q2,S08000019,,S08000019,Urological,,32,,29,
2012Q2,S08000019,,S08000031,Breast,,1,,1,
2012Q2,S08000019,,S08000031,Colorectal,,3,,2,
2012Q2,S08000019,,S08000031,Head & Neck,,7,,6,
2012Q2,S08000019,,S08000031,Lung,,9,,8,
2012Q2,S08000019,,S08000031,Ovarian,,3,,3,
2012Q2,S08000019,,S08000031,Upper GI,,4,,2,
2012Q2,S08000019,,S08000031,Urological,,3,,2,
2012Q2,S08000019,,SB0801,Lung,,6,,6,
2012Q2,S08000020,,S08000020,Breast,,79,,79,
2012Q2,S08000020,,S08000020,Cervical,,7,,7,
2012Q2,S08000020,,S08000020,Colorectal,,71,,62,
2012Q2,S08000020,,S08000020,Head & Neck,,7,,6,
2012Q2,S08000020,,S08000020,Lung,,54,,54,
2012Q2,S08000020,,S08000020,Lymphoma,,18,,14,
2012Q2,S08000020,,S08000020,Melanoma,,9,,9,
2012Q2,S08000020,,S08000020,Ovarian,,7,,6,
2012Q2,S08000020,,S08000020,Upper GI,,30,,30,
2012Q2,S08000020,,S08000020,Urological,,39,,39,
2012Q2,S08000020,,S08000024,Urological,,1,,0,
2012Q2,S08000020,,S08000025,Breast,,1,,1,
2012Q2,S08000022,,S08000020,Lung,,2,,2,
2012Q2,S08000022,,S08000022,Breast,,41,,41,
2012Q2,S08000022,,S08000022,Cervical,,2,,2,
2012Q2,S08000022,,S08000022,Colorectal,,27,,25,
2012Q2,S08000022,,S08000022,Head & Neck,,4,,4,
2012Q2,S08000022,,S08000022,Lung,,33,,33,
2012Q2,S08000022,,S08000022,Lymphoma,,8,,8,
2012Q2,S08000022,,S08000022,Melanoma,,3,,3,
2012Q2,S08000022,,S08000022,Ovarian,,4,,4,
2012Q2,S08000022,,S08000022,Upper GI,,14,,14,
2012Q2,S08000022,,S08000022,Urological,,17,,15,
2012Q2,S08000022,,S08000024,Lung,,1,,1,
2012Q2,S08000022,,S08000031,Colorectal,,1,,1,
2012Q2,S08000022,,S08000031,Head & Neck,,1,,1,
2012Q2,S08000022,,S08000031,Lung,,1,,1,
2012Q2,S08000022,,S08000031,Ovarian,,1,,1,
2012Q2,S08000022,,SB0801,Lung,,1,,0,
2012Q2,S08000024,,S08000016,Breast,,1,,1,
2012Q2,S08000024,,S08000019,Breast,,4,,4,
2012Q2,S08000024,,S08000024,Breast,,160,,160,
2012Q2,S08000024,,S08000024,Cervical,,2,,1,
2012Q2,S08000024,,S08000024,Colorectal,,102,,88,
2012Q2,S08000024,,S08000024,Head & Neck,,22,,20,
2012Q2,S08000024,,S08000024,Lung,,88,,80,
2012Q2,S08000024,,S08000024,Lymphoma,,19,,19,
2012Q2,S08000024,,S08000024,Melanoma,,25,,25,
2012Q2,S08000024,,S08000024,Ovarian,,19,,19,
2012Q2,S08000024,,S08000024,Upper GI,,56,,55,
2012Q2,S08000024,,S08000024,Urological,,66,,56,
2012Q2,S08000024,,S08000029,Breast,,1,,1,
2012Q2,S08000025,,S08000020,Breast,,1,,1,
2012Q2,S08000025,,S08000020,Colorectal,,1,,0,
2012Q2,S08000025,,S08000020,Lymphoma,,2,,2,
2012Q2,S08000025,,S08000025,Upper GI,,2,,2,
2012Q2,S08000026,,S08000020,Ovarian,,1,,1,
2012Q2,S08000026,,S08000020,Urological,,1,,1,
2012Q2,S08000026,,S08000026,Breast,,1,,1,
2012Q2,S08000026,,S08000026,Lymphoma,,1,,1,
2012Q2,S08000026,,S08000026,Melanoma,,1,,1,
2012Q2,S08000026,,S08000026,Urological,,3,,3,
2012Q2,S08000028,,S08000022,Colorectal,,2,,2,
2012Q2,S08000028,,S08000022,Lung,,1,,1,
2012Q2,S08000028,,S08000022,Upper GI,,3,,3,
2012Q2,S08000028,,S08000022,Urological,,3,,3,
2012Q2,S08000028,,S08000028,Colorectal,,4,,4,
2012Q2,S08000028,,S08000028,Head & Neck,,1,,1,
2012Q2,S08000028,,S08000028,Lung,,1,,1,
2012Q2,S08000028,,S08000028,Ovarian,,1,,1,
2012Q2,S08000028,,S08000031,Colorectal,,1,,1,
2012Q2,S08000028,,S08000031,Lung,,1,,1,
2012Q2,S08000029,,S08000019,Urological,,1,,1,
2012Q2,S08000029,,S08000024,Cervical,,1,,1,
2012Q2,S08000029,,S08000024,Colorectal,,1,,1,
2012Q2,S08000029,,S08000024,Head & Neck,,7,,6,
2012Q2,S08000029,,S08000024,Lung,,15,,11,
2012Q2,S08000029,,S08000024,Ovarian,,2,,2,
2012Q2,S08000029,,S08000024,Upper GI,,8,,8,
2012Q2,S08000029,,S08000024,Urological,,3,,2,
2012Q2,S08000029,,S08000029,Breast,,22,,22,
2012Q2,S08000029,,S08000029,Colorectal,,25,,20,
2012Q2,S08000029,,S08000029,Head & Neck,,1,,1,
2012Q2,S08000029,,S08000029,Lung,,29,,28,
2012Q2,S08000029,,S08000029,Lymphoma,,3,,3,
2012Q2,S08000029,,S08000029,Melanoma,,3,,3,
2012Q2,S08000029,,S08000029,Ovarian,,2,,2,
2012Q2,S08000029,,S08000029,Upper GI,,15,,15,
2012Q2,S08000029,,S08000029,Urological,,25,,23,
2012Q2,S08000029,,S08000030,Lung,,1,,1,
2012Q2,S08000030,,S08000024,Lung,,4,,2,
2012Q2,S08000030,,S08000030,Breast,,69,,69,
2012Q2,S08000030,,S08000030,Cervical,,2,,2,
2012Q2,S08000030,,S08000030,Colorectal,,29,,25,
2012Q2,S08000030,,S08000030,Head & Neck,,7,,7,
2012Q2,S08000030,,S08000030,Lung,,44,,44,
2012Q2,S08000030,,S08000030,Lymphoma,,1,,1,
2012Q2,S08000030,,S08000030,Melanoma,,7,,7,
2012Q2,S08000030,,S08000030,Ovarian,,4,,4,
2012Q2,S08000030,,S08000030,Upper GI,,28,,28,
2012Q2,S08000030,,S08000030,Urological,,29,,26,
2012Q2,S08000031,,S08000022,Colorectal,,2,,2,
2012Q2,S08000031,,S08000024,Upper GI,,3,,2,
2012Q2,S08000031,,S08000031,Breast,,227,,226,
2012Q2,S08000031,,S08000031,Cervical,,1,,1,
2012Q2,S08000031,,S08000031,Colorectal,,101,,91,
2012Q2,S08000031,,S08000031,Head & Neck,,36,,36,
2012Q2,S08000031,,S08000031,Lung,,145,,142,
2012Q2,S08000031,,S08000031,Lymphoma,,16,,16,
2012Q2,S08000031,,S08000031,Melanoma,,41,,40,
2012Q2,S08000031,,S08000031,Ovarian,,5,,5,
2012Q2,S08000031,,S08000031,Upper GI,,67,,65,
2012Q2,S08000031,,S08000031,Urological,,105,,99,
2012Q2,S08000031,,S08000032,Breast,,8,,8,
2012Q2,S08000031,,SB0801,Lung,,19,,15,
2012Q2,S08000031,,SB0801,Urological,,1,,1,
2012Q2,S08000032,,S08000031,Cervical,,3,,3,
2012Q2,S08000032,,S08000031,Colorectal,,5,,4,
2012Q2,S08000032,,S08000031,Head & Neck,,4,,4,
2012Q2,S08000032,,S08000031,Lung,,16,,16,
2012Q2,S08000032,,S08000031,Melanoma,,5,,4,
2012Q2,S08000032,,S08000031,Ovarian,,3,,3,
2012Q2,S08000032,,S08000031,Upper GI,,6,,6,
2012Q2,S08000032,,S08000031,Urological,,1,,1,
2012Q2,S08000032,,S08000032,Breast,,58,,58,
2012Q2,S08000032,,S08000032,Cervical,,1,,1,
2012Q2,S08000032,,S08000032,Colorectal,,48,,44,
2012Q2,S08000032,,S08000032,Head & Neck,,10,,10,
2012Q2,S08000032,,S08000032,Lung,,50,,50,
2012Q2,S08000032,,S08000032,Lymphoma,,8,,8,
2012Q2,S08000032,,S08000032,Melanoma,,10,,10,
2012Q2,S08000032,,S08000032,Ovarian,,1,,1,
2012Q2,S08000032,,S08000032,Upper GI,,24,,24,
2012Q2,S08000032,,S08000032,Urological,,31,,29,
2012Q2,S08000032,,SB0801,Lung,,8,,8,
2012Q3,S08000015,,S08000015,Breast,,79,,79,
2012Q3,S08000015,,S08000015,Cervical,,5,,4,
2012Q3,S08000015,,S08000015,Colorectal,,26,,22,
2012Q3,S08000015,,S08000015,Head & Neck,,3,,3,
2012Q3,S08000015,,S08000015,Lung,,33,,33,
2012Q3,S08000015,,S08000015,Lymphoma,,5,,5,
2012Q3,S08000015,,S08000015,Melanoma,,7,,7,
2012Q3,S08000015,,S08000015,Ovarian,,6,,6,
2012Q3,S08000015,,S08000015,Upper GI,,17,,17,
2012Q3,S08000015,,S08000015,Urological,,20,,19,
2012Q3,S08000015,,S08000017,Breast,,2,,2,
2012Q3,S08000015,,S08000031,Breast,,1,,1,
2012Q3,S08000015,,S08000031,Colorectal,,3,,2,
2012Q3,S08000015,,S08000031,Head & Neck,,3,,2,
2012Q3,S08000015,,S08000031,Lung,,14,,14,
2012Q3,S08000015,,S08000031,Melanoma,,1,,1,
2012Q3,S08000015,,S08000031,Ovarian,,6,,6,
2012Q3,S08000015,,S08000031,Upper GI,,5,,4,
2012Q3,S08000015,,S08000031,Urological,,1,,1,
2012Q3,S08000015,,SB0801,Lung,,2,,1,
2012Q3,S08000016,,S08000016,Breast,,11,,11,
2012Q3,S08000016,,S08000016,Colorectal,,12,,12,
2012Q3,S08000016,,S08000016,Head & Neck,,2,,2,
2012Q3,S08000016,,S08000016,Lung,,8,,8,
2012Q3,S08000016,,S08000016,Lymphoma,,6,,6,
2012Q3,S08000016,,S08000016,Ovarian,,3,,3,
2012Q3,S08000016,,S08000016,Upper GI,,6,,6,
2012Q3,S08000016,,S08000016,Urological,,18,,18,
2012Q3,S08000016,,S08000024,Cervical,,1,,1,
2012Q3,S08000016,,S08000024,Colorectal,,2,,1,
2012Q3,S08000016,,S08000024,Head & Neck,,2,,2,
2012Q3,S08000016,,S08000024,Lung,,1,,1,
2012Q3,S08000016,,S08000024,Upper GI,,1,,1,
2012Q3,S08000016,,S08000024,Urological,,1,,1,
2012Q3,S08000017,,S08000017,Breast,,23,,23,
2012Q3,S08000017,,S08000017,Cervical,,1,,1,
2012Q3,S08000017,,S08000017,Colorectal,,22,,21,
2012Q3,S08000017,,S08000017,Head & Neck,,1,,1,
2012Q3,S08000017,,S08000017,Lung,,8,,7,
2012Q3,S08000017,,S08000017,Lymphoma,,5,,5,
2012Q3,S08000017,,S08000017,Melanoma,,7,,7,
2012Q3,S08000017,,S08000017,Ovarian,,2,,2,
2012Q3,S08000017,,S08000017,Upper GI,,12,,12,
2012Q3,S08000017,,S08000017,Urological,,22,,21,
2012Q3,S08000017,,S08000024,Cervical,,1,,0,
2012Q3,S08000017,,S08000024,Colorectal,,1,,1,
2012Q3,S08000017,,S08000024,Head & Neck,,3,,3,
2012Q3,S08000017,,S08000024,Lung,,3,,3,
2012Q3,S08000017,,S08000024,Ovarian,,1,,1,
2012Q3,S08000017,,S08000024,Upper GI,,3,,3,
2012Q3,S08000017,,S08000024,Urological,,4,,4,
2012Q3,S08000017,,S08000031,Lung,,1,,1,
2012Q3,S08000017,,SB0801,Lung,,2,,2,
2012Q3,S08000019,,S08000019,Breast,,32,,31,
2012Q3,S08000019,,S08000019,Cervical,,1,,1,
2012Q3,S08000019,,S08000019,Colorectal,,18,,16,
2012Q3,S08000019,,S08000019,Head & Neck,,6,,6,
2012Q3,S08000019,,S08000019,Lung,,31,,31,
2012Q3,S08000019,,S08000019,Lymphoma,,4,,4,
2012Q3,S08000019,,S08000019,Melanoma,,8,,8,
2012Q3,S08000019,,S08000019,Ovarian,,1,,1,
2012Q3,S08000019,,S08000019,Upper GI,,25,,25,
2012Q3,S08000019,,S08000019,Urological,,29,,25,
2012Q3,S08000019,,S08000030,Upper GI,,1,,1,
2012Q3,S08000019,,S08000031,Breast,,2,,1,
2012Q3,S08000019,,S08000031,Cervical,,1,,1,
2012Q3,S08000019,,S08000031,Colorectal,,5,,3,
2012Q3,S08000019,,S08000031,Head & Neck,,3,,1,
2012Q3,S08000019,,S08000031,Lung,,11,,10,
2012Q3,S08000019,,S08000031,Melanoma,,1,,1,
2012Q3,S08000019,,S08000031,Ovarian,,2,,2,
2012Q3,S08000019,,S08000031,Upper GI,,3,,3,
2012Q3,S08000019,,S08000031,Urological,,1,,1,
2012Q3,S08000019,,SB0801,Lung,,4,,4,
2012Q3,S08000020,,S08000020,Breast,,86,,85,
2012Q3,S08000020,,S08000020,Cervical,,5,,5,
2012Q3,S08000020,,S08000020,Colorectal,,62,,45,
2012Q3,S08000020,,S08000020,Head & Neck,,8,,7,
2012Q3,S08000020,,S08000020,Lung,,65,,58,
2012Q3,S08000020,,S08000020,Lymphoma,,10,,7,
